chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    1069                 3                    2.850667             
1                    43                   1                    1059                 2                    4.236000             
1                    54                   1                    1098                 2                    4.392000             
1                    55                   1                    1053                 4                    2.106000             
1                    66                   1                    1096                 0                    inf                  
1                    67                   1                    1080                 0                    inf                  
1                    78                   1                    1142                 2                    4.568000             
1                    79                   1                    1122                 0                    inf                  
1                    90                   1                    1068                 0                    inf                  
1                    91                   1                    1084                 2                    4.336000             
1                    102                  1                    1098                 2                    4.392000             
1                    103                  1                    1091                 1                    8.728000             
1                    41                   1                    1079                 2                    4.316000             
1                    53                   1                    1076                 1                    8.608000             
1                    65                   1                    1109                 3                    2.957333             
1                    77                   1                    1103                 0                    inf                  
1                    89                   1                    1116                 3                    2.976000             
1                    101                  1                    1185                 2                    4.740000             
1                    44                   1                    1051                 0                    inf                  
1                    56                   1                    1040                 0                    inf                  
1                    68                   1                    1035                 3                    2.760000             
1                    80                   1                    1143                 1                    9.144000             
1                    92                   1                    1103                 0                    inf                  
1                    104                  1                    1160                 3                    3.093333             
1                    114                  1                    1180                 2                    4.720000             
1                    115                  1                    1157                 2                    4.628000             
1                    113                  1                    1127                 0                    inf                  
1                    30                   1                    1060                 1                    8.480000             
1                    31                   1                    1029                 0                    inf                  
1                    116                  1                    1198                 0                    inf                  
1                    29                   1                    1040                 0                    inf                  
1                    32                   1                    1035                 2                    4.140000             
1                    40                   1                    1038                 3                    2.768000             
1                    52                   1                    1056                 2                    4.224000             
1                    64                   1                    1090                 0                    inf                  
1                    76                   1                    1210                 3                    3.226667             
1                    88                   1                    1132                 0                    inf                  
1                    100                  1                    1124                 0                    inf                  
1                    112                  1                    1122                 0                    inf                  
1                    28                   1                    1182                 2                    4.728000             
1                    125                  1                    1055                 3                    2.813333             
1                    126                  1                    1084                 0                    inf                  
1                    127                  1                    1058                 3                    2.821333             
1                    128                  1                    1137                 2                    4.548000             
1                    124                  1                    1138                 2                    4.552000             
2                    42                   1                    517                  3                    1.378667             
2                    43                   1                    482                  0                    inf                  
2                    54                   1                    532                  3                    1.418667             
2                    55                   1                    482                  0                    inf                  
2                    66                   1                    521                  3                    1.389333             
2                    67                   1                    499                  0                    inf                  
2                    78                   1                    573                  0                    inf                  
2                    79                   1                    540                  0                    inf                  
2                    90                   1                    507                  0                    inf                  
2                    91                   1                    536                  0                    inf                  
2                    102                  1                    528                  3                    1.408000             
2                    103                  1                    530                  0                    inf                  
2                    44                   1                    477                  3                    1.272000             
2                    56                   1                    468                  0                    inf                  
2                    68                   1                    472                  3                    1.258667             
2                    80                   1                    574                  0                    inf                  
2                    92                   1                    540                  0                    inf                  
2                    104                  1                    597                  2                    2.388000             
2                    41                   1                    508                  0                    inf                  
2                    53                   1                    510                  3                    1.360000             
2                    65                   1                    546                  0                    inf                  
2                    77                   1                    535                  0                    inf                  
2                    89                   1                    553                  0                    inf                  
2                    101                  1                    640                  2                    2.560000             
2                    114                  1                    599                  0                    inf                  
2                    115                  1                    584                  4                    1.168000             
2                    116                  1                    645                  0                    inf                  
2                    30                   1                    488                  2                    1.952000             
2                    31                   1                    461                  0                    inf                  
2                    113                  1                    560                  0                    inf                  
2                    32                   1                    472                  0                    inf                  
2                    29                   1                    481                  3                    1.282667             
1                    45                   1                    1025                 3                    2.733333             
1                    57                   1                    1031                 1                    8.248000             
1                    69                   1                    1056                 0                    inf                  
1                    81                   1                    1186                 2                    4.744000             
1                    93                   1                    1201                 0                    inf                  
1                    105                  1                    1192                 3                    3.178667             
1                    117                  1                    1156                 0                    inf                  
1                    33                   1                    1017                 2                    4.068000             
1                    129                  1                    1229                 0                    inf                  
2                    126                  1                    523                  3                    1.394667             
2                    127                  1                    492                  0                    inf                  
2                    128                  1                    567                  0                    inf                  
2                    125                  1                    493                  1                    3.944000             
2                    45                   1                    463                  2                    1.852000             
2                    57                   1                    465                  0                    inf                  
2                    69                   1                    492                  0                    inf                  
2                    81                   1                    642                  0                    inf                  
2                    93                   1                    645                  4                    1.290000             
2                    105                  1                    626                  0                    inf                  
2                    117                  1                    601                  0                    inf                  
2                    33                   1                    451                  1                    3.608000             
2                    129                  1                    664                  5                    1.062400             
1                    18                   1                    1366                 2                    5.464000             
1                    19                   1                    1095                 4                    2.190000             
1                    20                   1                    1022                 3                    2.725333             
1                    17                   1                    1350                 0                    inf                  
1                    21                   1                    1015                 0                    inf                  
2                    18                   1                    781                  3                    2.082667             
2                    19                   1                    547                  0                    inf                  
2                    20                   1                    458                  3                    1.221333             
2                    17                   1                    756                  0                    inf                  
2                    21                   1                    450                  0                    inf                  
2                    34                   6                    11875                34                   2.794118             
2                    46                   6                    10992                30                   2.931200             
