chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    41                   1                    1014                 1                    8.112000             
1                    42                   1                    1014                 2                    4.056000             
1                    43                   1                    1014                 2                    4.056000             
1                    53                   1                    1014                 2                    4.056000             
1                    54                   1                    1014                 0                    inf                  
1                    55                   1                    1014                 0                    inf                  
1                    65                   1                    1014                 2                    4.056000             
1                    66                   1                    1014                 3                    2.704000             
1                    67                   1                    1014                 0                    inf                  
1                    77                   1                    1014                 0                    inf                  
1                    78                   1                    1014                 2                    4.056000             
1                    79                   1                    1014                 0                    inf                  
1                    89                   1                    1014                 0                    inf                  
1                    90                   1                    1014                 2                    4.056000             
1                    91                   1                    1014                 2                    4.056000             
1                    101                  1                    1014                 0                    inf                  
1                    102                  1                    1014                 1                    8.112000             
1                    103                  1                    1014                 3                    2.704000             
1                    29                   1                    1014                 0                    inf                  
1                    30                   1                    1014                 0                    inf                  
1                    31                   1                    1014                 2                    4.056000             
1                    44                   1                    1014                 0                    inf                  
1                    56                   1                    1014                 1                    8.112000             
1                    68                   1                    1014                 2                    4.056000             
1                    80                   1                    1014                 0                    inf                  
1                    92                   1                    1014                 2                    4.056000             
1                    104                  1                    1014                 3                    2.704000             
1                    32                   1                    1014                 0                    inf                  
1                    40                   1                    1014                 0                    inf                  
1                    52                   1                    1014                 2                    4.056000             
1                    64                   1                    1014                 2                    4.056000             
1                    76                   1                    1014                 0                    inf                  
1                    88                   1                    1014                 2                    4.056000             
1                    100                  1                    1014                 2                    4.056000             
1                    28                   1                    1014                 0                    inf                  
1                    113                  1                    1014                 1                    8.112000             
1                    114                  1                    1014                 1                    8.112000             
1                    115                  1                    1014                 2                    4.056000             
1                    116                  1                    1014                 0                    inf                  
1                    112                  1                    1014                 2                    4.056000             
1                    17                   1                    1014                 2                    4.056000             
1                    18                   1                    1014                 0                    inf                  
1                    19                   1                    1014                 1                    8.112000             
1                    20                   1                    1014                 2                    4.056000             
1                    16                   1                    1014                 2                    4.056000             
2                    41                   6                    1245                 2                    4.980000             
2                    42                   6                    1315                 2                    5.260000             
2                    43                   6                    1176                 3                    3.136000             
2                    53                   6                    1374                 2                    5.496000             
2                    54                   6                    1330                 2                    5.320000             
2                    55                   6                    1239                 0                    inf                  
2                    65                   6                    2074                 2                    8.296000             
2                    66                   6                    1189                 0                    inf                  
2                    67                   6                    1408                 6                    1.877333             
2                    77                   6                    2877                 1                    23.016001            
2                    78                   6                    1672                 2                    6.688000             
2                    79                   6                    2423                 2                    9.692000             
2                    89                   6                    2617                 2                    10.468000            
2                    90                   6                    2466                 4                    4.932000             
2                    91                   6                    3274                 2                    13.096000            
2                    101                  6                    2083                 2                    8.332000             
2                    102                  6                    2602                 4                    5.204000             
2                    103                  6                    2223                 2                    8.892000             
2                    29                   6                    1097                 2                    4.388000             
2                    30                   6                    1150                 1                    9.200000             
2                    31                   6                    1022                 1                    8.176000             
2                    44                   6                    1193                 1                    9.544000             
2                    56                   6                    1509                 2                    6.036000             
2                    68                   6                    2405                 4                    4.810000             
2                    80                   6                    2702                 3                    7.205333             
2                    92                   6                    2813                 4                    5.626000             
2                    104                  6                    2529                 2                    10.116000            
2                    32                   6                    926                  3                    2.469333             
2                    40                   6                    1021                 0                    inf                  
2                    52                   6                    1166                 0                    inf                  
2                    64                   6                    2486                 4                    4.972000             
2                    76                   6                    1829                 2                    7.316000             
2                    88                   6                    2119                 2                    8.476000             
2                    100                  6                    1520                 2                    6.080000             
2                    28                   6                    973                  0                    inf                  
2                    113                  6                    1716                 4                    3.432000             
2                    114                  6                    2356                 2                    9.424000             
2                    115                  6                    2061                 3                    5.496000             
2                    116                  6                    1887                 1                    15.096000            
2                    112                  6                    1845                 2                    7.380000             
2                    17                   6                    902                  2                    3.608000             
2                    18                   6                    891                  0                    inf                  
2                    19                   6                    925                  2                    3.700000             
2                    20                   6                    862                  2                    3.448000             
2                    16                   6                    805                  0                    inf                  
3                    42                   6                    9795                 10                   7.836000             
3                    43                   6                    9162                 11                   6.663273             
3                    54                   6                    9482                 11                   6.896000             
3                    55                   6                    8590                 11                   6.247272             
3                    66                   6                    7815                 7                    8.931429             
3                    67                   6                    10051                10                   8.040800             
3                    78                   6                    14535                17                   6.840000             
3                    79                   6                    23969                28                   6.848286             
3                    90                   6                    28862                34                   6.791059             
3                    91                   6                    38212                47                   6.504170             
3                    102                  6                    34349                39                   7.045949             
3                    103                  6                    32380                39                   6.642051             
3                    41                   6                    9670                 10                   7.736000             
3                    53                   6                    10426                10                   8.340800             
3                    44                   6                    6722                 7                    7.682286             
3                    56                   6                    11918                12                   7.945333             
3                    68                   6                    22382                27                   6.631704             
3                    80                   6                    31442                38                   6.619369             
3                    92                   6                    36865                42                   7.021905             
