chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    29                   1                    1040                 2                    4.160000             
1                    30                   1                    1060                 2                    4.240000             
1                    31                   1                    1029                 2                    4.116000             
1                    32                   1                    1035                 2                    4.140000             
1                    41                   1                    1079                 0                    inf                  
1                    42                   1                    1069                 0                    inf                  
1                    43                   1                    1059                 2                    4.236000             
1                    44                   1                    1051                 0                    inf                  
1                    53                   1                    1076                 0                    inf                  
1                    54                   1                    1098                 2                    4.392000             
1                    55                   1                    1053                 2                    4.212000             
1                    56                   1                    1040                 0                    inf                  
1                    65                   1                    1109                 1                    8.872000             
1                    66                   1                    1096                 1                    8.768000             
1                    67                   1                    1080                 0                    inf                  
1                    68                   1                    1035                 0                    inf                  
1                    77                   1                    1103                 2                    4.412000             
1                    78                   1                    1142                 2                    4.568000             
1                    79                   1                    1122                 0                    inf                  
1                    80                   1                    1143                 1                    9.144000             
1                    89                   1                    1116                 1                    8.928000             
1                    90                   1                    1068                 2                    4.272000             
1                    91                   1                    1084                 0                    inf                  
1                    92                   1                    1103                 2                    4.412000             
1                    101                  1                    1185                 2                    4.740000             
1                    102                  1                    1098                 0                    inf                  
1                    103                  1                    1091                 2                    4.364000             
1                    104                  1                    1160                 1                    9.280000             
1                    113                  1                    1127                 2                    4.508000             
1                    114                  1                    1180                 0                    inf                  
1                    115                  1                    1157                 2                    4.628000             
1                    116                  1                    1198                 2                    4.792000             
1                    125                  1                    1055                 0                    inf                  
1                    126                  1                    1084                 2                    4.336000             
1                    127                  1                    1058                 2                    4.232000             
1                    128                  1                    1137                 2                    4.548000             
1                    33                   1                    1017                 0                    inf                  
1                    45                   1                    1025                 2                    4.100000             
1                    57                   1                    1031                 0                    inf                  
1                    69                   1                    1056                 0                    inf                  
1                    81                   1                    1186                 2                    4.744000             
1                    93                   1                    1201                 0                    inf                  
1                    105                  1                    1192                 3                    3.178667             
1                    117                  1                    1156                 0                    inf                  
1                    129                  1                    1229                 2                    4.916000             
1                    17                   1                    1350                 2                    5.400000             
1                    18                   1                    1366                 0                    inf                  
1                    19                   1                    1095                 0                    inf                  
1                    20                   1                    1022                 2                    4.088000             
