chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    1014                 1                    8.112000             
1                    43                   1                    1014                 2                    4.056000             
1                    44                   1                    1014                 2                    4.056000             
1                    54                   1                    1014                 1                    8.112000             
1                    55                   1                    1014                 1                    8.112000             
1                    56                   1                    1014                 0                    inf                  
1                    66                   1                    1014                 0                    inf                  
1                    67                   1                    1014                 2                    4.056000             
1                    68                   1                    1014                 0                    inf                  
1                    78                   1                    1014                 0                    inf                  
1                    79                   1                    1014                 2                    4.056000             
1                    80                   1                    1014                 1                    8.112000             
1                    90                   1                    1014                 0                    inf                  
1                    91                   1                    1014                 2                    4.056000             
1                    92                   1                    1014                 1                    8.112000             
1                    102                  1                    1014                 0                    inf                  
1                    103                  1                    1014                 0                    inf                  
1                    104                  1                    1014                 1                    8.112000             
1                    41                   1                    1014                 2                    4.056000             
1                    53                   1                    1014                 0                    inf                  
1                    65                   1                    1014                 2                    4.056000             
1                    77                   1                    1014                 1                    8.112000             
1                    89                   1                    1014                 1                    8.112000             
1                    101                  1                    1014                 0                    inf                  
1                    30                   1                    1014                 1                    8.112000             
1                    31                   1                    1014                 2                    4.056000             
1                    32                   1                    1014                 0                    inf                  
1                    114                  1                    1014                 1                    8.112000             
1                    115                  1                    1014                 2                    4.056000             
1                    116                  1                    1014                 0                    inf                  
1                    29                   1                    1014                 0                    inf                  
1                    113                  1                    1014                 3                    2.704000             
1                    45                   1                    1014                 0                    inf                  
1                    57                   1                    1014                 0                    inf                  
1                    69                   1                    1014                 1                    8.112000             
1                    81                   1                    1014                 0                    inf                  
1                    93                   1                    1014                 3                    2.704000             
1                    105                  1                    1014                 0                    inf                  
1                    33                   1                    1014                 0                    inf                  
1                    117                  1                    1014                 1                    8.112000             
2                    41                   1                    495                  0                    inf                  
2                    42                   1                    527                  0                    inf                  
2                    43                   1                    521                  2                    2.084000             
2                    44                   1                    530                  0                    inf                  
2                    45                   1                    483                  0                    inf                  
2                    53                   1                    601                  0                    inf                  
2                    54                   1                    526                  1                    4.208000             
2                    55                   1                    532                  0                    inf                  
2                    56                   1                    524                  0                    inf                  
2                    57                   1                    521                  0                    inf                  
2                    65                   1                    520                  2                    2.080000             
2                    66                   1                    521                  0                    inf                  
2                    67                   1                    591                  0                    inf                  
2                    68                   1                    535                  0                    inf                  
