chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    1461                 2                    5.844000             
1                    43                   1                    4129                 4                    8.258000             
1                    54                   1                    1656                 1                    13.248000            
1                    55                   1                    3972                 5                    6.355200             
1                    66                   1                    2780                 3                    7.413333             
1                    67                   1                    7712                 7                    8.813714             
1                    78                   1                    1540                 2                    6.160000             
1                    79                   1                    4134                 4                    8.268000             
1                    90                   1                    1818                 3                    4.848000             
1                    91                   1                    3016                 2                    12.064000            
1                    102                  1                    2354                 2                    9.416000             
1                    103                  1                    2787                 2                    11.148000            
1                    30                   1                    1419                 1                    11.352000            
1                    31                   1                    1129                 0                    inf                  
1                    44                   1                    7364                 9                    6.545778             
1                    56                   1                    6563                 6                    8.750667             
1                    68                   1                    7083                 7                    8.094857             
1                    80                   1                    7290                 9                    6.480000             
1                    92                   1                    4257                 4                    8.514000             
1                    104                  1                    4000                 2                    16.000000            
1                    41                   1                    1504                 1                    12.032000            
1                    53                   1                    1980                 3                    5.280000             
1                    65                   1                    2430                 2                    9.720000             
1                    77                   1                    1849                 2                    7.396000             
1                    89                   1                    2825                 4                    5.650000             
1                    101                  1                    3869                 2                    15.476000            
1                    32                   1                    3006                 4                    6.012000             
1                    29                   1                    1490                 3                    3.973333             
1                    114                  1                    1925                 2                    7.700000             
1                    115                  1                    2736                 4                    5.472000             
1                    116                  1                    2704                 1                    21.632000            
1                    113                  1                    2151                 4                    4.302000             
1                    18                   1                    1067                 0                    inf                  
1                    19                   1                    1168                 1                    9.344000             
1                    20                   1                    1037                 2                    4.148000             
1                    17                   1                    1209                 0                    inf                  
1                    33                   1                    1612                 1                    12.896000            
1                    45                   1                    2513                 3                    6.701334             
1                    57                   1                    2777                 4                    5.554000             
1                    69                   1                    2997                 2                    11.988000            
1                    81                   1                    2189                 2                    8.756000             
1                    93                   1                    2105                 2                    8.420000             
1                    105                  1                    2706                 0                    inf                  
1                    117                  1                    2347                 4                    4.694000             
1                    21                   1                    1029                 0                    inf                  
2                    42                   3                    5317                 6                    7.089334             
2                    43                   3                    35088                43                   6.528000             
2                    54                   3                    5491                 5                    8.785600             
2                    55                   3                    32309                38                   6.801895             
2                    66                   3                    11806                13                   7.265231             
2                    67                   2                    27295                32                   6.823750             
2                    78                   2                    3887                 3                    10.365334            
2                    79                   2                    19628                23                   6.827130             
2                    90                   2                    3593                 5                    5.748800             
2                    91                   2                    12339                13                   7.593231             
2                    102                  2                    5490                 5                    8.784000             
2                    103                  2                    22362                25                   7.155840             
2                    30                   2                    2426                 1                    19.408001            
2                    31                   2                    1083                 2                    4.332000             
